"";"group";"observed_r";"LL";"UL";"p";"r";"CI";"pno0"
"5";"AT: Grüne";0,27;0,13;0,4;0;".27";"[.13, .40]";".000"
"19";"BE: Ecolo";0,11;-0,15;0,35;0,408;".11";"[-.15, .35]";".408"
"20";"BE: Groen!";-0,03;-0,25;0,19;0,778;"-.03";"[-.25, .19]";".778"
"44";"CH: Green Party";0,09;-0,16;0,33;0,485;".09";"[-.16, .33]";".485"
"50";"CH: Social Democratic Party";0,35;0,19;0,49;0;".35";"[.19, .49]";".000"
"68";"DE: Bündnis 90/ Die Grünen";0,18;0,05;0,3;0,005;".18";"[.05, .30]";".005"
"88";"EE: Erakond Eestimaa Rohelised";0,49;-0,11;0,83;0,105;".49";"[-.11, .83]";".105"
"118";"FI: Green League";0,19;0,04;0,33;0,016;".19";"[.04, .33]";".016"
"130";"FR: Autres mouvements écologistes";-0,01;-0,45;0,44;0,978;"-.01";"[-.45, .44]";".978"
"134";"FR: EELV (Europe Ecologie Les Verts)";-0,01;-0,26;0,24;0,94;"-.01";"[-.26, .24]";".940"
"153";"GB: Green Party";0,39;0,08;0,63;0,014;".39";"[.08, .63]";".014"
"168";"HU: LMP (Lehet Más A Politika)";-0,08;-0,53;0,4;0,762;"-.08";"[-.53, .40]";".762"
"180";"IE: Green Party";0,12;-0,28;0,49;0,561;".12";"[-.28, .49]";".561"
"193";"IT: Movimento 5 Stelle";0,31;0,19;0,43;0;".31";"[.19, .43]";".000"
"201";"IT: Rivoluzione Civile (Ingroia)";0,76;-1;1;1;".76";"[-1.00, 1.00]";"1.000"
"203";"IT: Sinistra Ecologia e Libertà (SEL)";0,34;-0,06;0,65;0,092;".34";"[-.06, .65]";".092"
"211";"LT: Lithuanian Greens Party (LZP)";0,35;-0,47;0,85;0,409;".35";"[-.47, .85]";".409"
"212";"LT: Lithuanian Peasant and Greens Union (LVZS)";0,15;0,02;0,27;0,023;".15";"[.02, .27]";".023"
"227";"NL: Green Left";0,03;-0,22;0,28;0,815;".03";"[-.22, .28]";".815"
"235";"NL: Party for the Animals";-0,26;-0,57;0,11;0,169;"-.26";"[-.57, .11]";".169"
"245";"NO: Green Party (MDG)";-0,06;-0,39;0,29;0,751;"-.06";"[-.39, .29]";".751"
"247";"NO: Liberal Party (V)";0,05;-0,23;0,32;0,737;".05";"[-.23, .32]";".737"
"254";"NO: Socialist Left Party (SV)";0,12;-0,13;0,37;0,345;".12";"[-.13, .37]";".345"
"269";"PT: B.E. - Bloco de Esquerda";0,12;-0,13;0,36;0,35;".12";"[-.13, .36]";".350"
"273";"PT: MPT - Partido da Terra";NA;NA;NA;NA;NA;"[NA, NA]";NA
"278";"PT: PAN - Pessoas-Animais-Natureza";-0,04;-0,62;0,58;0,92;"-.04";"[-.62, .58]";".920"
"286";"SE: FI (Feministiskt initiativ)";0,33;-0,05;0,63;0,083;".33";"[-.05, .63]";".083"
"289";"SE: Miljöpartiet de gröna";0,45;0,28;0,6;0;".45";"[.28, .60]";".000"
"299";"SE: Vänsterpartiet";0,4;0,2;0,57;0;".40";"[.20, .57]";".000"
"314";"SI: ZL - Združena levica (DSD, IDS in Stranka TRS)";0,06;-0,33;0,43;0,777;".06";"[-.33, .43]";".777"
